2023-02-27 16:42:51.306 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:42:51.310 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:00.822 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:00.829 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:00.830 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:00.836 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:00.836 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:01.381 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:01.383 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:10.838 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:10.846 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:10.846 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:10.852 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:10.852 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:11.344 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:11.348 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:20.827 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:20.841 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:20.842 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:20.852 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:20.853 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:21.353 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:21.354 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:30.825 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:30.827 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:30.827 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:30.829 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:30.829 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:31.369 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:31.371 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:40.826 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:40.827 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:40.827 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:40.829 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:40.829 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:41.335 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:41.336 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:43:50.835 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:43:50.836 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:43:50.837 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:43:50.840 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:43:50.840 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:43:51.458 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:43:51.460 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:44:00.820 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:44:00.825 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:44:00.826 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:44:00.830 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:44:00.831 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:44:01.605 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:44:01.607 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:44:10.827 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:44:10.840 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:44:10.841 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:44:10.851 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:44:10.852 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:44:11.600 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:44:11.610 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:44:20.827 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:44:20.838 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:44:20.839 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:44:20.869 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:44:20.869 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:44:21.338 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:44:21.342 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:44:30.818 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:44:30.828 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:44:30.829 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:44:30.840 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:44:30.840 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:44:31.327 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:44:31.331 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:44:40.821 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:44:40.827 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:44:40.828 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:44:40.834 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:44:40.835 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:44:41.328 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:44:41.333 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:44:50.823 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:44:50.828 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
2023-02-27 16:44:50.828 -03:00 [INF] > PedidoFinalizadoJob: Iniciando
2023-02-27 16:44:50.835 -03:00 [INF] > PedidoFinalizadoJob: Finalizado
2023-02-27 16:44:50.835 -03:00 [INF] > PedidoEntregueJob: Iniciando
2023-02-27 16:44:51.294 -03:00 [INF] > PedidoDevolverEntregueJob: Iniciando
2023-02-27 16:44:51.298 -03:00 [INF] > PedidoDevolverEntregueJob: Finalizado
2023-02-27 16:45:00.821 -03:00 [INF] > PedidoPagamentoSituacao: Iniciando
2023-02-27 16:45:00.826 -03:00 [INF] > PedidoPagamentoSituacao: Finalizado
